Arrest Number,Race,Ethnicity,Sex,Age,Arrest Date,Arrest Time,Arrest Type,UCR Code,Description,F/M,Counts,Location of Arrest,X,Y,District,Beat,Tract
336527,W,N,F,46,3/28/23, 6:08:00PM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,5200 MCFARLAND DR,2002564.765,800520.0319,D3,323,2018
308486,B,N,M,52,1/1/19, 7:35:00AM,On-View,220,BURGLARY (FIRST DEGREE),F,1,200 W GEER ST,2030758.174,820405.0927,D2,212,200
835701,W,N,M,25,9/18/24,11:32:00PM,On-View,9914,NO OPERATOR LICENSE,M,1,2200 GLOVER RD,2038866.015,803830.6259,D4,413,2027
307884,W,N,M,67,11/26/18, 9:03:00AM,Summons/Cited,13B,SIMPLE ASSAULT & BATTERY OR AFFRAY,M,1,3600 RIDGE RD,2009782.942,810896.2724,D3,321,2017
326020,B,N,F,23,9/9/21,12:40:00PM,Warrant/OFA,13B,ASSAULT A CHILD / MINOR,M,1,200 S MANGUM ST,2029180.38,816642.3237,D5,512,2300
308559,B,N,M,47,1/3/19, 4:41:00PM,On-View,13C,COMMUNICATING THREATS,M,1,2900 CHAPEL HILL RD,2017956.422,808263.0524,D3,314,2015
317294,B,N,F,19,2/27/20,11:57:00AM,Warrant/OFA,270,LARCENY BY SERVANTS AND OTHER EMPLOYEES,F,1,200 S MANGUM ST,2029472.179,816290.0544,D5,512,2300
835526,W,,F,35,9/4/24, 2:06:00PM,On-View,35A,POSSESS W/I/T M/S/D CONTROL SUBSTANCE SCHEDULE I,F,1,2500 HIGHLAND AVE,2032374.813,827225.0255,D2,213,101
314953,B,N,F,24,11/4/19, 3:34:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,LIBERTY ST/N BRIGGS AVE,2037139.642,815827.9257,D1,113,1002
320600,B,N,M,19,10/20/20, 1:11:00AM,Summons/Cited,520,CARRYING CONCEALED WEAPONS,M,1,N BRIGGS AVE/TAYLOR ST,2036962.385,814870.8739,D1,113,1001
317725,B,N,M,23,4/7/20, 7:08:00AM,Summons/Cited,220,BREAKING AND ENTERING BUILDING  (MISDEMEANOR),M,1,900 CHALK LEVEL RD,2026263.641,836845.6116,D2,222,1710
834441,B,N,F,39,8/28/24,10:17:00PM,On-View,35A,POSSESS CONTROL SUBSTANCE SCHEDULE II,F,1,DAVIDSON AVE/N ROXBORO ST,2032492.028,825628.4033,D2,213,101
832824,W,,M,71,5/10/24, 8:38:00PM,On-View,90D,DRIVING WHILE IMPAIRED,M,1,800 NINTH ST,2022978.871,822990.1142,D2,211,402
833659,B,N,M,30,7/8/24, 3:16:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,200 S MANGUM ST,2029357.687,816397.2659,D5,512,2300
327372,B,N,M,43,12/12/21, 9:48:00PM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,PLEASANT DR/BOSWELL ST,2043081.962,805848.0195,D1,114,1809
325336,W,H,M,43,7/19/21, 6:42:00PM,On-View,90D,DRIVING WHILE IMPAIRED,M,1,2700 GUESS RD,2021723.746,829685.5366,D2,211,1705
332134,B,N,M,27,8/25/22, 9:16:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,1000 ROSEDALE AVE,2023045.497,815481.299,D3,311,500
307903,B,N,F,26,11/27/18, 9:17:00AM,On-View,90D,DRIVING WHILE IMPAIRED,M,1,N DUKE ST/W TRINITY AVE,2027975.938,821004.0645,D5,512,302
309287,B,,F,39,2/8/19,11:00:00PM,On-View,35B,POSSESSION OF DRUG PARAPHERNALIA,M,1,2100 N ROXBORO ST,2032363.993,825416.3134,D2,213,101
327746,B,,M,27,1/14/22, 5:07:00AM,On-View,520,CARRYING CONCEALED WEAPONS,M,1,200 MARBELLA GROVE CT,2027376.018,798727.1821,D4,415,2026
310614,B,N,M,22,4/14/19,11:39:00PM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,500 ELMIRA AVE,2028382.923,805580.7441,D4,412,1304
834244,B,N,M,22,8/2/24,10:20:00PM,On-View,35A,POSSESS CS PUBLIC PARK OR WITHIN 1000 FEET OF,F,2,900 E MAIN ST,2032084.977,815182.5396,D5,513,1100
337437,W,,M,32,5/31/23, 9:06:00PM,On-View,13A,ASSAULT WITH DEADLY WEAPON INFLICTING SERIOUS INJURY,F,1,800 UNDERWOOD AVE,2022920.01,816866.3863,D3,312,500
343695,B,N,M,34,10/27/23,12:01:00AM,Warrant/OFA,520,POSSESSION OF FIREARMS  ETC BY FELON PROHIBITED,F,1,S ALSTON AVE/MASSEY AVE,2031855.698,811174.7062,D4,413,1400
344701,B,N,M,52,4/9/24, 2:01:00AM,On-View,220,BREAKING AND ENTERING BUILDING  (MISDEMEANOR),M,1,300 GLEN FALLS LN,2033519.382,776892.9994,D4,422,2027
306996,W,H,F,20,10/3/18, 3:46:00PM,On-View,270,LARCENY BY SERVANTS AND OTHER EMPLOYEES,F,1,8200 RENAISSANCE PKWY,2013979.146,784018.9229,D3,324,2021
312013,B,N,M,26,6/19/19, 2:28:00PM,Warrant/OFA,290,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,M,1,700 RAYNOR ST,2038164.494,815957.7217,D1,114,1002
331099,W,N,M,57,6/18/22, 4:38:00PM,Summons/Cited,520,DISCHARGING WEAPONS GENERALLY,M,1,GUESS RD/HORTON RD,2020908.316,839816.2656,D2,222,1711
833620,B,N,F,21,7/4/24, 6:47:00PM,On-View,90F,CHILD ABUSE A GENERAL MISDEMEANOR,M,1,200 SEVEN OAKS RD,2027974.11,844494.5484,D2,224,1708
314276,B,N,F,17,10/4/19, 6:29:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,600 E MAIN ST,2031217.143,815446.4313,D5,513,1100
310710,W,H,M,44,4/20/19, 8:00:00PM,Summons/Cited,23H,LARCENY (MISDEMEANOR),M,1,8200 RENAISSANCE PKWY,2012873.548,783476.4483,D3,324,2021
342333,B,,M,57,12/25/23,12:07:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,200 S MANGUM ST,2029353.468,816263.7488,D5,512,2300
319607,B,N,M,55,8/18/20,10:39:00AM,Warrant/OFA,13B,ASSAULT ON FEMALE,M,1,1000 N MIAMI BLVD,2038924.202,816559.0167,D1,122,1002
308498,W,N,M,17,1/1/19, 4:06:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,200 S MANGUM ST,2029461.47,816260.6945,D5,512,2300
319859,B,N,F,25,9/8/20,10:37:00AM,Warrant/OFA,35A,POSSESS CS PUBLIC PARK OR WITHIN 1000 FEET OF,F,1,200 S MANGUM ST,2029355.645,816292.365,D5,512,2300
328016,B,N,M,71,2/1/22, 9:20:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,200 S MANGUM ST,2029357.633,816388.5042,D5,512,2300
334893,W,,M,27,2/19/23,12:23:00PM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,5400 NEW HOPE COMMONS DR,2000336.925,802576.8362,D3,321,2017
